ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",Featured,URL,"Commission Category",first_name,last_name,customer_registration,commission_category,assign_location,agent_phone,assign_user,profile_picture,_profile_picture,id_verification_front,_id_verification_front,id_verification_back,_id_verification_back,commission_payout,_commission_payout,gender,_gender,date_of_birth,_date_of_birth,agent_type,_agent_type,kiosk_nickname,_kiosk_nickname,location_coordinates,_location_coordinates,has_smartphone,_has_smartphone,uses_whatsapp_daily,_uses_whatsapp_daily,has_been_in_assigned_location_for_at_least_1_year,_has_been_in_assigned_location_for_at_least_1_year,has_a_fixed_space,_has_a_fixed_space,backup_contact_first_name,_backup_contact_first_name,backup_contact_last_name,_backup_contact_last_name,backup_contact_mobile_number,_backup_contact_mobile_number,id_verification_-_front,_id_verification_-_front,id_verification_-_back,_id_verification_-_back,assigned_location,_assigned_location,_wp_old_slug,_wp_trash_meta_status,_wp_trash_meta_time,_wp_desired_post_slug,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
2748,"Francisca [placeholder]",,,"2021-12-14 12:13:32",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-13/,,,,,,,,10%,Francisca,[placeholder],yes,478,536,254724849918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-13,,,0,0,0,closed,closed,"2021-12-14 12:13:33"
2749,"Pastor Martin [placeholder]",,,"2021-12-14 12:13:52",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-14/,,,,,,,,10%,"Pastor Martin",[placeholder],yes,478,536,254724234815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-14,,,0,0,0,closed,closed,"2022-01-21 09:18:18"
2751,"Mercy [placeholder]",,,"2021-12-14 12:15:43",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-16/,,,,,,,,10%,Mercy,[placeholder],yes,478,536,254704092442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-16,,,0,0,0,closed,closed,"2021-12-14 12:15:43"
2752,"Josphine Njeri",,,"2021-12-14 12:16:00",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-17/,,,,,,,,10%,Josphine,Njeri,yes,478,536,254705801087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-17,,,0,0,0,closed,closed,"2021-12-14 12:16:00"
2753,"Eunice Ondiek",,,"2021-12-14 12:16:18",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-18/,,,,,,,,10%,Eunice,Ondiek,yes,478,536,254792715515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-18,,,0,0,0,closed,closed,"2021-12-14 12:16:18"
2754,"Christine [placeholder]",,,"2021-12-14 12:16:39",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-19/,,,,,,,,10%,Christine,[placeholder],yes,478,536,254728547273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-19,,,0,0,0,closed,closed,"2021-12-14 12:16:39"
2755,"Jocybe [placeholder]",,,"2021-12-14 12:17:06",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-20/,,,,,,,,10%,Jocybe,[placeholder],yes,478,536,254723463567,478,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Female,field_61bb0f6bbb5a4,20220115,field_61bb11279181d,Kiosk,field_61bb11809181e,,field_61bb120623106,"-1.282600523842608, 36.748662791935004",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Test,field_61bb1b2ee8b1f,Test,field_61bb1b4be8b20,254702772009,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-20,,,0,0,0,closed,closed,"2022-01-26 08:28:18"
2756,"Nancy Wanjiru",,,"2021-12-14 12:17:25",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-21/,,,,,,,,10%,Nancy,Wanjiru,yes,478,536,254705325134,395,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-21,,,0,0,0,closed,closed,"2022-01-17 14:58:29"
2757,"Hafsa Ali",,,"2021-12-14 12:17:44",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-22/,,,,,,,,10%,Hafsa,Ali,yes,478,536,254707672657,394,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-22,,,0,0,0,closed,closed,"2022-01-17 14:56:44"
2758,"Kepha Mwangi",,,"2021-12-14 12:18:01",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-23/,,,,,,,,10%,Kepha,Mwangi,yes,478,536,254724833161,393,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-23,,,0,0,0,closed,closed,"2022-01-17 14:55:00"
2759,"Beatrice Njeri",,,"2021-12-14 12:18:20",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-24/,,,,,,,,10%,Beatrice,Njeri,yes,478,536,254797045916,392,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-24,,,0,0,0,closed,closed,"2022-01-17 14:52:49"
2760,"Catherine Mueni",,,"2021-12-14 12:18:35",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-25/,,,,,,,,10%,Catherine,Mueni,yes,478,536,254713384975,390,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-25,,,0,0,0,closed,closed,"2022-01-17 14:50:54"
2761,"Immah Minoo",,,"2021-12-14 12:19:06",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-26/,,,,,,,,10%,Immah,Minoo,yes,478,536,254718809514,389,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-26,,,0,0,0,closed,closed,"2022-01-17 14:48:54"
2762,"Peter Momanyi",,,"2021-12-14 12:19:21",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-27/,,,,,,,,10%,Peter,Momanyi,yes,478,536,254712350360,383,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-27,,,0,0,0,closed,closed,"2022-01-16 15:24:37"
2763,"Sarah Mkabana",,,"2021-12-14 12:19:36",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-28/,,,,,,,,10%,Sarah,Mkabana,yes,478,536,254724440025,382,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Kiosk,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-28,,,0,0,0,closed,closed,"2022-01-19 16:22:55"
2764,"Rose Akoth",,,"2021-12-14 12:19:56",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-29/,,,,,,,,10%,Rose,Akoth,yes,478,536,254723944867,378,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-29,,,0,0,0,closed,closed,"2022-01-15 20:18:30"
2765,"Veronicah Paul",,,"2021-12-14 12:20:21",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-30/,,,,,,,,10%,Veronicah,Paul,yes,478,536,254792517743,377,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-30,,,0,0,0,closed,closed,"2022-01-15 20:16:42"
2766,"Lucy Murunyu",,,"2021-12-14 12:20:39",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-31/,,,,,,,,10%,Lucy,Murunyu,yes,478,536,254722889292,376,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-31,,,0,0,0,closed,closed,"2022-01-15 20:12:42"
2767,"Sarah Chege",,,"2021-12-14 12:20:57",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-32/,,,,,,,,10%,Sarah,Chege,yes,478,536,254727851513,375,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-32,,,0,0,0,closed,closed,"2022-01-15 20:10:02"
2768,"Peter Wangwe",,,"2021-12-14 12:21:14",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-33/,,,,,,,,10%,Peter,Wangwe,yes,478,536,254796883590,374,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-33,,,0,0,0,closed,closed,"2022-01-15 20:06:23"
2769,"Loghan [placeholder]",,,"2021-12-14 12:21:34",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-34/,,,,,,,,10%,Loghan,[placeholder],yes,478,536,254700188583,373,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-34,,,0,0,0,closed,closed,"2022-01-15 20:00:57"
2770,"Kabitha Wanjiku",,,"2021-12-14 12:21:51",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-35/,,,,,,,,10%,Kabitha,Wanjiku,yes,478,536,254728455014,372,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-35,,,0,0,0,closed,closed,"2022-01-15 19:59:22"
2771,"Grace Saloon",,,"2021-12-14 12:22:07",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-36/,,,,,,,,10%,Grace,Saloon,yes,478,536,254729848968,371,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-36,,,0,0,0,closed,closed,"2022-01-15 19:57:24"
2772,"Josphine Ondiek",,,"2021-12-14 12:22:23",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-37/,,,,,,,,10%,Josphine,Ondiek,yes,478,536,254727605937,370,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-37,,,0,0,0,closed,closed,"2022-01-15 19:55:20"
2773,"Phoebe Kamau",,,"2021-12-14 12:22:49",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-38/,,,,,,,,10%,Phoebe,Kamau,yes,478,536,254712858599,369,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-38,,,0,0,0,closed,closed,"2022-01-15 19:52:24"
2775,"Zawadi [placeholder]",,,"2021-12-14 12:23:21",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-40/,,,,,,,,10%,Zawadi,[placeholder],yes,478,536,254713459395,368,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-40,,,0,0,0,closed,closed,"2022-01-15 19:49:16"
2776,"Ann Wanjiku",,,"2021-12-14 12:23:38",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-41/,,,,,,,,10%,Ann,Wanjiku,yes,478,536,254720446858,367,3503,field_61bb101fb4495,3503,field_61bb107091275,3503,field_61bb10bcaf28c,Daily,field_61bb69a4eb937,Male,field_61bb0f6bbb5a4,20100110,field_61bb11279181d,Individual,field_61bb11809181e,,field_61bb120623106,"-1.283210 36.821350",field_61bb19c62486b,0,field_61bb1abfe8b1b,0,field_61bb1ae2e8b1c,0,field_61bb1affe8b1d,0,field_61bb1b17e8b1e,Jim,field_61bb1b2ee8b1f,Jones,field_61bb1b4be8b20,270817679571,field_61bb1b5fe8b21,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-41,,,0,0,0,closed,closed,"2022-01-15 19:47:19"
